linker,source,pos,ptclass,sense,other_senses,other_pos,semfield1,subsense1,semfield2,subsense2
даже,Уш,в значении присоединительного союза,,"присоединяет что-нибудь, являющееся выражением крайнего предела, высшей степени",NA,усилительная частица,мереология,аддитивность,NA,NA
даже,Морк,союз,,соединительный,NA,NA,конъюнкция,присоединительное,NA,NA
даже и,МАС,нет пометы,,"то же, что ""даже"", но с оттенком еще большего усиления",NA,NA,конъюнкция,присоединительное,NA,NA
далее,МАС,наречие,,"то же, что ""дальше""",NA,NA,таксис,следование,NA,NA
дальше,МАС,наречие,,"затем, потом, в дальнейшем","сравнительная степень к ""далекий"" и ""далеко""; продолжая начатое ",NA,таксис,следование,NA,NA
даром что,МАС,сложный союз,,уступительный,NA,NA,адверсативность,уступка,NA,NA
даром что,Морк,союз,,уступительный,NA,NA,адверсативность,уступка,NA,NA
действительно,Морк,вводное слово,,"для подтверждения правильности того, что было сказано ранее",NA,наречие; частица,ПУ,логический вывод,NA,NA
дескать,Морк,частица,,"для указания, что приводимые слова являются пересказом чужой речи",NA,NA,ПУ,цитирование,NA,NA
диви-бы,Уш,союз,,условно-уступительный,NA,NA,условие,ирреальное,NA,NA
для того чтобы,МАС,сложный союз,,цели,NA,NA,цель,NA,NA,NA
"для того<,> чтобы",Морк,союз,,цели,NA,NA,цель,NA,NA,NA
допустим,Морк,вводное слово,,утверждение основывается на предположении,NA,NA,мереология,конкретизация,NA,NA
"до тех пор<,> пока",Морк,союз,,временной,NA,NA,таксис,одновременность,NA,NA
"до тех пор<,> пока не",Морк,союз,,временной,NA,NA,таксис,предшествование,NA,NA
"до того<,> как",Морк,союз,,временной,NA,NA,таксис,предшествование,NA,NA
добро бы,МАС,в значении условного союза,,"при противопоставлении и соответствует по значению словам: если бы еще, пусть бы",NA,NA,условие,ирреальное,NA,NA
добро бы... а то,Уш,союз,,условный,NA,NA,условие,ирреальное,NA,NA
должно быть,Морк,вводное слово,,"для выражения, что утверждение основывается на предположении",NA,NA,ПУ,логический вывод,NA,NA
другими словами,Морк,вводное слово,,далее уже высказанное содержание передается с помощью других слов,NA,NA,переформулирование,NA,NA,NA
едва,МАС,союз,,"в придаточном временном предложении в значении: как только, чуть только, лишь только",NA,наречие,таксис,следование,NA,NA
едва,Уш,наречие,,"лишь только, только что","насилу, еле-еле",NA,таксис,следование,NA,NA
едва,Морк,союз,,временной,NA,наречие,таксис,следование,NA,NA
"едва ..., а",Морк,союз,,временной,NA,NA,таксис,следование,NA,NA
ежели,МАС,союз,,для выражения реально возможного условия,NA,NA,условие,реальное,NA,NA
ежели,Уш,союз,,если,NA,NA,условие,реальное,NA,NA
ежели,МАС,союз,,во вводных и вставных предложениях с оттенком условности,NA,NA,условие,реальное,NA,NA
ежели,МАС,союз,,для выражения решительного утверждения,NA,NA,условие,реальное,NA,NA
ежели,МАС,союз,,сопоставление с другим предложением или противопоставление ему,NA,NA,адверсативность,противительное,NA,NA
если,МАС,союз,,для выражения реально возможного условия,NA,NA,условие,реальное,NA,NA
если,Уш,союз,,"в том случае, когда",NA,NA,условие,реальное,NA,NA
если,МАС,союз,,во вводных и вставных предложениях с оттенком условности,NA,NA,условие,реальное,NA,NA
если,МАС,союз,,для выражения решительного утверждения,NA,NA,условие,реальное,NA,NA
если,МАС,союз,,сопоставление с другим предложением или противопоставление ему,NA,NA,адверсативность,противительное,NA,NA
если,Морк,союз,,условный,изъяснительный,NA,условие,реальное,NA,NA
если,Морк,союз,,вводит вводные и вставные предложения с условным значением,изъяснительный,NA,условие,реальное,NA,NA
если,Морк,союз,,условно-выделительный,изъяснительный,NA,условие,реальное,NA,NA
если,Морк,союз,,сопоставительный,изъяснительный,NA,конъюнкция,сопоставительное,NA,NA
если,Уш,союз,,"сопоставление с главным предложением, в значении ""в то время, как""",NA,NA,конъюнкция,сопоставительное,NA,NA
если,Уш,союз,,причины,NA,NA,причина,обоснование,NA,NA
если б,Морк,союз,,условный,изъяснительный,NA,условие,ирреальное,NA,NA
если бы,МАС,союз + частица,,условно-предположительное значение,NA,NA,условие,ирреальное,NA,NA
если бы,Уш,союз + частица,,"для выражения условия, противоположного действительности ",для выражения неисполнимого желания,NA,условие,ирреальное,NA,NA
если бы,Морк,союз,,условный,изъяснительный,частица,условие,ирреальное,NA,NA
если даже,Морк,союз + частица,,уступительный,NA,NA,адверсативность,уступка,NA,NA
если даже и,Морк,союз + частица,,уступительный,NA,NA,адверсативность,уступка,NA,NA
"если и, если же, если даже",МАС,нет пометы,,"в начале предложения, заключающего в себе сопоставление с другим предложением",NA,NA,конъюнкция,сопоставительное,NA,NA
если не... то,МАС,нет пометы,,"хотя (и) не…, но…; или… или…",NA,NA,дизъюнкция,NA,NA,NA
если не... то,Уш,нет пометы,,"хотя (и) не..., но...; или-или",NA,NA,дизъюнкция,NA,NA,NA
если... значит ,Морк,союз + соотносительное слово,,сопоставительный,NA,NA,конъюнкция,сопоставительное,NA,NA
если... и ,Морк,союз + частица,,уступительный,NA,NA,адверсативность,уступка,NA,NA
если... то,Морк,союз + частица,,сопоставительный,NA,NA,адверсативность,противительное,NA,NA
естественно,Морк,вводное слово,,уверенность говорящего в достоверности высказывания,NA,наречие; частица,ПУ,логический вывод,NA,NA
ещё,МАС,в значении уступительного союза,,"предположительность условия или на его соотносительность с чем-л.: более или менее бы…, в какой-то мере, хоть",NA,NA,адверсативность,уступка,NA,NA
ещё,Уш,в значении вводного слова,,"для подчеркивания какого-н. признака, факта (при напоминании)",NA,NA,мереология,аддитивность,NA,NA
ж,Морк,союз,,сопоставительный,NA,частица,конъюнкция,сопоставительное,NA,NA
же,МАС,союз,,противительный,NA,частица усилительная,адверсативность,противительное,NA,NA
же,Уш,союз,,противительный,NA,частица,адверсативность,противительное,NA,NA
же,МАС,союз,,присоединительный,NA,частица усилительная,конъюнкция,присоединительное,NA,NA
же,Уш,союз,,присоединительный,NA,частица,конъюнкция,присоединительное,NA,NA
ж,Морк,союз,,противительный,NA,частица,адверсативность,противительное,NA,NA
ж,Морк,союз,,"присоединительный: для присоединения части предложения, в которой говорится о фактах, занимающих следующее место в последовательности описания",NA,частица,конъюнкция,присоединительное,NA,NA
ж,Морк,союз,,"присоединительный: для присоединения части предложения, поясняющей высказанную мысль",NA,частица,мереология,аддитивность,NA,NA
же,Морк,союз,,сопоставительный,NA,частица,конъюнкция,сопоставительное,NA,NA
же,Морк,союз,,противительный,NA,частица,адверсативность,противительное,NA,NA
же,Морк,союз,,"присоединительный: для присоединения части предложения, в которой говорится о фактах, занимающих следующее место в последовательности описания",NA,частица,конъюнкция,присоединительное,NA,NA
же,Морк,союз,,"присоединительный: для присоединения части предложения, поясняющей высказанную мысль",NA,частица,мереология,аддитивность,NA,NA
"за счёт того<,> что",Морк,союз,,причинный,NA,NA,причина,собственно причина,NA,NA
затем,МАС,наречие,,"после этого, потом
",NA,NA,таксис,следование,NA,NA
затем,Уш,наречие,,поэтому ,"после этого, потом",NA,причина,собственно причина,NA,NA
затем,МАС,наречие,,далее (для обозначения перехода к следующему положению или выводу в речи),NA,NA,мереология,аддитивность,NA,NA
затем,МАС,наречие,,"с этой целью
",NA,NA,цель,NA,NA,NA
затем,МАС,наречие,,по этой причине,NA,NA,причина,собственно причина,NA,NA
затем,Уш,наречие,,"с этой целью, для того","после этого, потом",NA,цель,NA,NA,NA
затем что,МАС,сложный союз,,причинный,NA,NA,причина,собственно причина,NA,NA
затем что,Уш,союз,,причинный,NA,NA,причина,собственно причина,NA,NA
затем чтобы,Уш,союз,,цели,NA,NA,цель,NA,NA,NA
"затем<,> чтобы",Морк,союз,,цели,NA,NA,цель,NA,NA,NA
зато,МАС,союз,,"при возместительном сопоставлении; соответствует по значению словам: однако, но в то же время",NA,NA,адверсативность,противительное,NA,NA
зато,Уш,союз,,противительный,NA,NA,адверсативность,противительное,NA,NA
зато,МАС,союз,,"при пояснении или для выражения следствия; соответствует по значению словам: поэтому, вследствие этого",NA,NA,следствие,результат,NA,NA
зато,Морк,союз,,противительный,NA,NA,адверсативность,противительное,NA,NA
зачем,МАС,наречие,,"с какой целью, для чего",относительное,NA,цель,NA,NA,NA
зачем,МАС,наречие,,"почему, отчего",относительное,NA,причина,собственно причина,NA,NA
значит,МАС,вводное слово,,"следовательно, стало быть","в значении связки ""это""",NA,ПУ,логический вывод,NA,NA
значит,Уш,вводное слово,,"следовательно, стало быть",NA,NA,ПУ,логический вывод,NA,NA
значит,Морк,вводное слово,,для придания значения вывода,NA,связка; соотносительное слово,ПУ,логический вывод,NA,NA
значит,Морк,союз,,присоединительный,NA,связка; соотносительное слово,ПУ,логический вывод,NA,NA
значит,Морк,союз,,следствия,NA,связка; соотносительное слово,следствие,результат,NA,NA
и,МАС,союз,,"соединительный
",NA,усилительная частица; междометие,конъюнкция,соединительное,NA,NA
и,МАС,союз,,перечислительный,NA,усилительная частица; междометие,конъюнкция,соединительное,NA,NA
и,МАС,союз,,присоединительный,NA,усилительная частица; междометие,конъюнкция,присоединительное,NA,NA
и,МАС,союз,,уступительный,NA,усилительная частица; междометие,адверсативность,уступка,NA,NA
и,Морк,союз,,"соединительный: для соединения слов, обозначающих однородные объекты",NA,частица,конъюнкция,соединительное,NA,NA
и,Морк,союз,,"соединительный: для соединения частей сложносочиненного предложения, содержащих однородные сообщения или сообщающих об одновременных событиях",NA,частица,конъюнкция,соединительное,таксис,одновременность
и,Морк,союз,,"соединительный: для для соединения частей сложносочиненного предложения, сообщающих о последовательных событиях ",NA,частица,конъюнкция,соединительное,таксис,следование
и,Морк,союз,,соединительно-следственный,NA,частица,следствие,результат,NA,NA
и,Морк,союз,,противительный,NA,частица,адверсативность,противительное,NA,NA
и,Морк,союз,,присоединительный,NA,частица,конъюнкция,присоединительное,NA,NA
и,Уш,союз,,соединительный,повествовательный; усилительный,междометие; в значении частицы,конъюнкция,соединительное,NA,NA
и,Уш,союз,,присоединительный,повествовательный; усилительный,междометие; в значении частицы,конъюнкция,присоединительное,NA,NA
и вообще,МАС,союз + наречие,,"для присоединения предложения, выражающего  более общую мысль",NA,NA,мереология,генерализация,NA,NA
и вот,Морк,нет пометы,,соединительно-следственный,NA,NA,следствие,результат,NA,NA
и значит,Морк,нет пометы,,соединительно-следственный,NA,NA,следствие,результат,NA,NA
и к тому же,Морк,нет пометы,,присоединительный,NA,NA,конъюнкция,присоединительное,NA,NA
и лишь,Морк,союз,,противительно-ограничительный,NA,частица,адверсативность,противительное,NA,NA
и оттого,Морк,нет пометы,,соединительно-следственный,NA,NA,следствие,результат,NA,NA
и потому,Морк,нет пометы,,соединительно-следственный,NA,NA,следствие,результат,NA,NA
и поэтому,Морк,нет пометы,,соединительно-следственный,NA,NA,следствие,результат,NA,NA
и правда,Морк,союз + вводное слово,,"для подтверждения правильности того, что было сказано ранее",NA,NA,ПУ,логический вывод,NA,NA
и притом,Морк,нет пометы,,присоединительный,NA,NA,конъюнкция,присоединительное,NA,NA
и следовательно,Морк,нет пометы,,соединительно-следственный,NA,NA,следствие,результат,NA,NA
и следовательно,Морк,нет пометы,,для придания высказыванию значения вывода,NA,NA,ПУ,логический вывод,NA,NA
и следовательно,Морк,нет пометы,,присоединительный,NA,NA,ПУ,логический вывод,NA,NA
и следовательно,Морк,нет пометы,,следствия,NA,NA,следствие,результат,NA,NA
и стало быть,Морк,вводное слово,,для придания высказыванию значения вывода,NA,NA,ПУ,логический вывод,NA,NA
и также,МАС,сложный союз,,присоединительный,NA,NA,конъюнкция,присоединительное,NA,NA
и стало быть,Морк,союз,,присоединительный,NA,NA,конъюнкция,присоединительное,NA,
и стало быть,Морк,союз,,следствия,NA,NA,следствие,результат,NA,NA
и теперь,Морк,нет пометы,,соединительно-следственный,NA,NA,следствие,результат,NA,NA
и то,МАС,нет пометы,,"к тому же, к тому же только",NA,NA,мереология,аддитивность,NA,NA
и то,Морк,союз,,присоединительный,NA,NA,мереология,аддитивность,NA,NA
и то,Морк,союз,,противительный,NA,NA,адверсативность,противительное,NA,NA
и... и ,Морк,союз,,соединительно-перечислительный,NA,NA,конъюнкция,соединительное,NA,NA
"и..., так",Морк,союз,,уступительный,NA,NA,адверсативность,уступка,NA,NA
ибо,МАС,союз,,"в придаточном причинном предложении соответствует по значению союзам: потому что, так как",NA,NA,причина,собственно причина,NA,NA
ибо,Морк,союз,,причинный,NA,NA,причина,собственно причина,NA,NA
ибо,Уш,союз,,так как,NA,NA,причина,собственно причина,NA,NA
"из-за того<,> что",Морк,союз,,причинный,NA,NA,причина,собственно причина,NA,NA
или,МАС,союз,,разделительный,NA,NA,дизъюнкция,NA,NA,NA
или,МАС,союз,,разделительно-перечислительный,NA,NA,дизъюнкция,NA,NA,NA
или,МАС,союз,,присоединительный,NA,NA,конъюнкция,присоединительное,NA,NA
или,МАС,союз,,противительный,NA,NA,адверсативность,противительное,NA,NA
или,МАС,союз,,пояснительный,NA,NA,переформулирование,NA,NA,NA
или,Морк,союз,,разделительный,NA,NA,дизъюнкция,NA,NA,NA
или,Морк,союз,,присоединительный,NA,NA,конъюнкция,присоединительное,NA,NA
или,Морк,союз,,противительный,NA,NA,адверсативность,противительное,NA,NA
или,Морк,союз,,пояснительный,NA,NA,переформулирование,NA,NA,NA
или,Уш,союз,,разделительный,NA,NA,дизъюнкция,NA,NA,NA
или,Уш,союз,,разделительно-перечислительный,NA,NA,дизъюнкция,NA,NA,NA
или... или ,Морк,союз,,разделительный,NA,NA,дизъюнкция,NA,NA,NA
или... или ,Морк,союз,,перечислительно-разделительный,NA,NA,дизъюнкция,NA,NA,NA
или... или ,Морк,союз,,противительный,NA,NA,адверсативность,противительное,NA,NA
иль,Уш,союз,,разделительный,NA,NA,дизъюнкция,NA,NA,NA
именно,МАС,в значении союза,,"при присоединении предложения или отдельных членов предложения, разъясняющих, уточняющих высказанную мысль",NA,частица,мереология,конкретизация,NA,NA
именно,Морк,союз,,пояснительный,NA,частица,переформулирование,NA,NA,NA
иль,Уш,союз,,разделительно-перечислительный,NA,NA,дизъюнкция,NA,,
именно,Уш,частица,,перед точным указанием перечисляемых предметов,для подчеркнутого указания на что-либо,NA,мереология,конкретизация,NA,NA
иначе,МАС,в значении противительного союза,,"в противном случае, а то",NA,наречие,дизъюнкция,NA,NA,NA
иначе,Морк,союз,,противительный,NA,наречие,адверсативность,противительное,NA,NA
иначе,Уш,союз,,противительный,NA,наречие,адверсативность,противительное,NA,NA
иначе говоря,МАС,нет пометы,,другими словами,NA,NA,переформулирование,NA,NA,NA
иначе говоря,Морк,вводное слово,,для передачи уже сказанного с помощью других слов,NA,NA,переформулирование,NA,NA,NA
иными словами,Морк,вводное слово,,далее уже высказанное содержание передается с помощью других слов,NA,NA,переформулирование,NA,NA,NA
"исходя из того<,> что",Морк,союз,,причинный,NA,NA,причина,обоснование,NA,NA
итак,МАС,союз,,"в начале предложения, содержащего вывод из предыдущего, близок по значению словам: таким образом, следовательно",NA,NA,ПУ,логический вывод,NA,NA
итак,Морк,союз,,соединительный,NA,NA,конъюнкция,соединительное,NA,NA
итак,Уш,союз,,заключительный,NA,NA,мереология,генерализация,NA,NA
к примеру,Морк,вводное слово,,"для указания на предмет, выступающий в качестве конкретного примера",NA,NA,мереология,конкретизация,NA,NA
к слову,Морк,вводное слово,,приводимая далее информация пришла на ум говорящему под влиянием предыдущей речи,NA,NA,мереология,аддитивность,NA,NA
к слову сказать,Морк,вводное слово,,приводимая далее информация пришла на ум говорящему под влиянием предыдущей речи,NA,NA,мереология,аддитивность,NA,NA
к тому ж,Морк,союз,,присоединительный,NA,NA,мереология,аддитивность,NA,NA
к тому же,Морк,союз,,присоединительный,NA,NA,мереология,аддитивность,NA,NA
кабы,МАС,союз,,условно-предположительный,NA,NA,условие,ирреальное,NA,NA
кабы,Уш,союз,,если бы,NA,NA,условие,ирреальное,NA,NA
кажется,МАС,в значении вводного слова,,"как будто, по-видимому",NA,NA,ПУ,логический вывод,NA,NA
кажется,Морк,вводное слово,,для выражения неуверенности говорящего в высказывании,NA,частица,ПУ,логический вывод,NA,NA
как,МАС,наречие,,времени,вопросительное; образа действия; определительное; неопределенное,частица,таксис,одновременность,NA,NA
как,МАС,наречие,,относительное,вопросительное; образа действия; определительное; неопределенное,частица,сравнение,экватив,NA,NA
как,МАС,союз,,сравнительный,выделительно-ограничительный,частица,сравнение,экватив,NA,NA
как,МАС,союз,,"присоединительный (в значении ""в качестве"", ""будучи"")",выделительно-ограничительный,частица,конъюнкция,сопутствование,NA,NA
как,МАС,союз,,временной,выделительно-ограничительный,частица,таксис,одновременность,NA,NA
как,МАС,союз,,причинный,выделительно-ограничительный,частица,причина,собственно причина,NA,NA
как,МАС,союз,,условный,выделительно-ограничительный,частица,условие,реальное,NA,NA
как,Морк,союз,,сравнительный,изъяснительный,частица,сравнение,экватив,сравнение,симилятив
как,Морк,союз,,присоединительный,изъяснительный,частица,конъюнкция,присоединительное,NA,NA
как,Морк,союз,,временной,изъяснительный,частица,таксис,одновременность,NA,NA
как,Морк,союз,,причинный,изъяснительный,частица,причина,собственно причина,NA,NA
как,Морк,союз,,условный,изъяснительный,частица,условие,реальное,NA,NA
как,Уш,союз,,временной,присоединяет вводные слова и выражения,наречие,таксис,одновременность,NA,NA
как будто,Морк,союз,,сравнительный,NA,NA,сравнение,симилятив,NA,NA
как будто,Морк,союз,,изъяснительный,NA,NA,ПУ,цитирование,NA,NA
как будто бы,МАС,союз + частица,,условно-предположительное значение,NA,NA,условие,ирреальное,NA,NA
как бы,МАС,союз + частица,,условно-предположительное значение,NA,NA,условие,ирреальное,NA,NA
как и,Морк,союз,,сравнительный,NA,NA,сравнение,экватив,NA,NA
как например,Морк,вводное слово,,"для указания на предмет, выступающий в качестве конкретного примера",NA,NA,мереология,конкретизация,NA,NA
как только,Морк,союз,,временной,NA,NA,таксис,следование,NA,NA
как... так и,Морк,союз,,сравнительный,NA,NA,сравнение,экватив,NA,NA
как... так и,Морк,союз,,соединительно-перечислительный,NA,NA,конъюнкция,соединительное,NA,NA
как... так и,Морк,союз,,соединительно-сопоставительный,NA,NA,таксис,одновременность,сравнение,экватив
когда,МАС,союз,,"временной
",NA,наречие,таксис,одновременность,NA,NA
когда,МАС,союз,,временной,NA,наречие,таксис,следование,NA,NA
когда,МАС,союз,,условный,NA,наречие,условие,реальное,NA,NA
когда,Морк,союз,,временной,изъяснительный,NA,таксис,одновременность,NA,NA
когда,Морк,союз,,условный,изъяснительный,NA,условие,реальное,NA,NA
когда,Морк,союз,,сопоставительно-временной,NA,NA,причина,обоснование,NA,NA
когда,Уш,союз,,временной,присоединяет дополнительное придаточное предложение,наречие,таксис,одновременность,NA,NA
когда,Уш,союз,,условный,присоединяет дополнительное придаточное предложение,наречие,условие,реальное,NA,NA
коли,МАС,союз,,условный,NA,NA,условие,реальное,NA,NA
коли,Уш,союз,,условный,NA,NA,условие,реальное,NA,NA
коль,Уш,союз,,условный,NA,NA,условие,реальное,NA,NA
коль скоро,МАС,нет пометы,,если; раз уж,NA,NA,условие,реальное,NA,NA
коль скоро,Уш,нет пометы,,"если, как только",NA,NA,условие,реальное,NA,NA
конечно,МАС,вводное слово,,"само собой разумеется, без сомнения",NA,утвердительная частица,ПУ,логический вывод,NA,NA
когда б ни,Морк,наречие в значении союзного слова,,высказывание в главной части истинно независимо от времени совершения действия придаточной,NA,NA,таксис,NA,NA,NA
когда бы ни,Морк,наречие в значении союзного слова,,высказывание в главной части истинно независимо от времени совершения действия придаточной,NA,NA,таксис,NA,NA,NA
когда ни,Морк,наречие в значении союзного слова,,высказывание в главной части истинно независимо от времени совершения действия придаточной,NA,NA,таксис,NA,NA,NA
конечно,Морк,вводное слово,,уверенность говорящего в достоверности высказывания,NA,частица,ПУ,логический вывод,NA,NA
конечно,Уш,вводное слово,,"несомненно, само собою разумеется, естественно",NA,утвердительная частица,ПУ,логический вывод,NA,NA
коротко говоря,Морк,вводное слово,,говорящий кратко излагает суть дела,NA,NA,переформулирование,NA,NA,NA
короче,Морк,вводное слово,,говорящий кратко излагает суть дела,NA,NA,переформулирование,NA,NA,NA
короче говоря,Морк,вводное слово,,говорящий кратко излагает суть дела,NA,NA,переформулирование,NA,NA,NA
кроме того,Морк,вводное слово,,помимо сказанного важно и еще что-либо,NA,NA,мереология,аддитивность,NA,NA
кстати,МАС,в значении вводного слова,,"обозначает, что данная фраза говорится в связи с только что сказанным, в дополнение к нему",NA,наречие,мереология,аддитивность,NA,NA
кстати,Уш,в значении вводного слова,,фраза говорится в дополнение к только что сказанному,NA,наречие,мереология,аддитивность,NA,NA
кто,МАС,местоимение,,с разделительным значением,вопросительное; с указательным или выделительным значением; неопределенное; относительное,NA,дизъюнкция,NA,NA,NA
"ладно(, если) бы",МАС,нет пометы,,"для выражения допустимости, возможности чего-л. при соблюдении каких-л. условий.",NA,NA,условие,реальное,NA,NA
ли,МАС,союз,,условный,для косвенного вопроса,частица,условие,реально,NA,NA
ли,Уш,союз,,условно-уступительный,NA,частица,условие,реальное,NA,NA
ли... или,МАС,союз,,разделительный,NA,NA,дизъюнкция,NA,NA,NA
ли... или ,Уш,союз,,разделительный,NA,NA,дизъюнкция,NA,NA,NA
ли... Ли,МАС,союз,,разделительный,NA,NA,дизъюнкция,NA,NA,NA
ли... ли ,Уш,союз,,разделительный,NA,NA,дизъюнкция,NA,NA,NA
либо,МАС,союз,,разделительный,NA,NA,дизъюнкция,NA,NA,NA
либо,Морк,союз,,разделительный,NA,NA,дизъюнкция,NA,NA,NA
либо,Морк,союз,,присоединительный,NA,NA,конъюнкция,присоединительное,NA,NA
либо,Уш,союз,,разделительный,NA,NA,дизъюнкция,NA,NA,NA
либо... либо ,Уш,нет пометы,,или... или ,NA,NA,дизъюнкция,NA,NA,NA
лишь,МАС,союз,,"в предложениях, уточняющих высказанную мысль",NA,частица,мереология,аддитивность,NA,NA
лишь,МАС,союз,,в придаточных временных предложениях,NA,частица,таксис,следование,NA,NA
лишь,Морк,союз,,противительно-ограничительный,NA,NA,адверсативность,противительное,NA,NA
лишь,Уш,союз,,временной,NA,наречие,таксис,следование,NA,NA
лишь бы,МАС,союз + частица,,"в придаточных предложениях цели
",NA,NA,цель,NA,NA,NA
лишь бы,МАС,союз + частица,,"присоединяет предложение, выражающее пожелание",NA,NA,ПУ,желание,NA,NA
лишь бы,Морк,союз,,изъяснительный,NA,NA,условие,реальное,NA,NA
лишь бы,Морк,союз,,цели,NA,частица,цель,NA,NA,NA
лишь только,Морк,союз,,временной,NA,NA,таксис,следование,NA,NA
лишь только,Уш,союз,,как только,NA,NA,таксис,следование,NA,NA
лучше,Морк,вводное слово,,"для указания на слово, которое уточняет сказанное ранее, является более предпочтительным",NA,NA,переформулирование,NA,NA,NA
лучше сказать,Морк,вводное слово,,"для указания на слово, которое уточняет сказанное ранее, является более предпочтительным",NA,NA,переформулирование,NA,NA,NA
мало того что,Морк,союз,,градационный,NA,NA,мереология,аддитивность,NA,NA
между прочим,Морк,вводное слово,,приводимая далее информация пришла говорящему под влиянием предыдущей речи ,NA,NA,мереология,аддитивность,NA,NA
между тем как,Морк,союз,,сопоставительный,NA,NA,адверсативность,противительное,NA,NA
между тем как,Морк,союз,,уступительно-противительный,NA,NA,адверсативность,противительное,NA,NA
может,Морк,вводное слово,,неуверенное предположение о возможности,в вопросительных и побудительных предложениях,NA,ПУ,логический вывод,NA,NA
может быть,Морк,вводное слово,,неуверенное предположение о возможности,в вопросительных и побудительных предложениях,NA,ПУ,логический вывод,NA,NA
мол,Морк,частица,,приводимые слова являются пересказом чужой речи,NA,NA,ПУ,цитирование,NA,NA
"на основании того<,> что",Морк,союз,,причинный,NA,NA,причина,обоснование,NA,NA
"на том основании<,> что",Морк,союз,,причинный,NA,NA,причина,обоснование,NA,NA
наверно,Морк,вводное слово,,"для выражения того, что высказываемое утверждение основывается на предположении говорящего",NA,NA,ПУ,логический вывод,NA,NA
наверное,Морк,вводное слово,,высказываемое утверждение основывается на предположении говорящего,NA,NA,ПУ,логический вывод,NA,NA
надо полагать,Морк,вводное слово,,высказываемое утверждение основывается на предположении говорящего,NA,NA,ПУ,логический вывод,NA,NA
надо сказать,Морк,вводное слово,,"вводит то, что подтверждает ранее высказанную мысль",NA,NA,мереология,аддитивность,NA,NA
наконец,МАС,в значении присоединительного союза,,присоединительный,NA,наречие,конъюнкция,присоединительное,NA,NA
наконец,МАС,вводное слово,,"Указывает, что член предложения заключает сказанное ранее",NA,наречие,конъюнкция,присоединительное,NA,NA
наконец,Морк,вводное слово,,"выражение, которое следует далее, заключает сказанное ранее","для указания на то, к чему всегда можно прибегнуть; для выражения крайнего нетерпения, недовольства",NA,мереология,аддитивность,NA,NA
наконец,Уш,в значении союза,,перечислительный,NA,наречие,мереология,аддитивность,NA,NA
наконец,Уш,в значении вводного слова,,"кроме всего, и еще","означает,что мера терпения переполнена",наречие,мереология,аддитивность,NA,NA
наоборот,МАС,в значении вводного слова,,В противоположность сказанному или ожидаемому,NA,наречие; в значении противительной частицы,адверсативность,противительное,NA,NA
наоборот,Уш,в значении вводного слова,,в противоположность сказанному или ожидаемому,NA,наречие; в значении противительной частицы,адверсативность,противительное,NA,NA
например,МАС,вводное слово,,"для примера (при перечислении, пояснении)",NA,NA,мереология,конкретизация,NA,NA
например,Морк,вводное слово,,"для указания на предмет, поясняющий какую-то мысль",NA,NA,мереология,конкретизация,NA,NA
напротив,МАС,в значении вводного слова,,в противоположность сказанному или ожидаемому,NA,наречие; предлог; в значении противительной частицы,адверсативность,противительное,NA,NA
не столько... сколько,Морк,союз,,градационный,NA,NA,заместительные отношения,NA,NA,NA
не то,МАС,нет пометы,,"иначе, в противном случае",NA,NA,дизъюнкция,NA,NA,NA
не то,Морк,союз,,противительный,NA,NA,адверсативность,противительное,NA,NA
не то чтобы,МАС,сложный союз,,"не столько…, сколько",NA,NA,заместительные отношения,NA,NA,NA
