linker,source,pos,ptclass,sense,other_senses,other_pos,semfield1,subsense1,semfield2,subsense2
али,БТС,союз,,или,NA,NA,дизъюнкция,NA,NA,NA
али,ЕФР,союз,,"соотнесение однородных членов предложения или целых предложений (по значению взаимоисключающих или заменяющих друг друга), указывая на необходимость выбора между ними",NA,NA,дизъюнкция,NA,NA,NA
аль,БТС,союз,,или,NA,NA,дизъюнкция,NA,NA,NA
аль,ЕФР,союз,,"соотнесение однородных членов предложения или целых предложений (по значению взаимоисключающих или заменяющих друг друга), указывая на необходимость выбора между ними",NA,NA,дизъюнкция,NA,NA,NA
ан,БТС,союз,,"происходит нечто неожиданное; оказывается, а на самом деле, но вдруг","1. для усиления противопоставления, несоответствия тому, что предполагается, утверждается",частица,адверсативность,противительность,NA,NA
ан,АГ-80,союз,,NA,NA,частица,адверсативность,противительность,NA,NA
ан,ЕФР,союз,,"содержание противоречит или противопоставляется содержанию предшествующего предложения): а на самом деле, но оказывается","1. подчеркивание противопоставления: а вот, а всё-таки",частица,адверсативность,противительность,NA,NA
без того чтобы не,АГ-80,союз,,NA,NA,NA,мереология,аддитивность,NA,NA
бесспорно... но,АГ-80,союзное соединение,,NA,NA,NA,адверсативность,уступка,адверсативность,противительность
благо,АГ-80,союз,,благоприятствующая причина,NA,частица-союз,причина,собственно причина,причина,обоснование
благо что,ЕФР,союз,,"дополнительный довод: благодаря тому что, тем более что",NA,NA,мереология,аддитивность,причина,обоснование
благодаря тому что,БТС,союз,,"По причине того что, вследствие того что",NA,NA,причина,обоснование,причина,собственно причина
благодаря тому что,АГ-80,союз,,NA,NA,NA,причина,собственно причина,причина,обоснование
благодаря тому что,ЕФР,союз,,"благоприятствующая причина: потому что, вследствие того что",NA,NA,причина,собственно причина,причина,обоснование
благодаря чему,ЕФР,союз,,"результат, вытекающий из действия предыдущей части предложения: поэтому",NA,NA,причина,результат,NA,NA
более того,БТС,в значении вводного словосочетания,,Указывает на уточнение смысла и усиление эмоциональной оценки в последующей фразе (обычно заключительной),NA,NA,мереология,аддитивность,мереология,конкретизация
более того,АГ-80,вводное сочетание слов,,NA,NA,союз,мереология,аддитивность,NA,NA
более того,АГ-80,союз,,NA,NA,вводное сочетание слов,мереология,аддитивность,NA,NA
буде,БТС,союз,,если,NA,NA,условие,реальное,условие,ирреальное
буде,АГ-80,союз,,условный,NA,NA,условие,реальное,условие,ирреальное
